Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00722672875113273,-0.000104719885171654,0.0735986679476475,0,0,0,18.2147755600028,0.0356811351637089,-3.30703606727007E-06,1.73140581507926E-05,0.060568796439748,-6.6672149590014E-06,0.0785360308707043,0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://car_urdf/meshes/base_link.STL,,摆臂减速带-3;摆臂减速带-4;摆臂减速带-2;摆臂减速带-1;5M60齿摆臂减速大带轮-2;摆臂电机支架-8;主传动外轴承固定座内侧-内径53-2;5M60齿摆臂减速大带轮-3;主传动外轴承固定座内侧-内径53-3;主传动外轴承固定座内侧-内径53-1;摆臂小带轮连接件-9;model_ph14b.stp-8;5M60齿摆臂减速大带轮-1;5M20齿带轮铝-5;主传动外轴承固定座内侧-内径53-4;5M60齿摆臂减速大带轮-4;板连接件-40;板连接件-35;主传动外轴承固定座-内径50-9;外侧5M85齿大带轮-9;外侧5M85齿大带轮-8;板连接件-37;法兰外-8;板连接件-38;板连接件-36;空心轴外-13;法兰-9;板连接件-41;板连接件-39;垂直板-8;空心轴外-12;板连接件-34;外侧5M85齿大带轮-7;6809轴承外径58-23;主动轮轴承支架-4;X8-20(RMD-X8 Pro-H 1：6 V3)-5;6809轴承外径58-24;GB／T276-94深沟球轴承61802-2Z-12;从动轴-4;6809轴承外径58-26;法兰外-7;主轴-4;6809轴承外径58-25;法兰-8;仿真轮轴-2;零件2-1;model_ph14b.stp-9;零件4-1;仿真轮轴-3;平台-3;model_ph14b.stp-10;仿真轮轴-5;GB／T822-2000十字槽圆柱头螺钉M3×16-15;上顶板-2;GB／T822-2000十字槽圆柱头螺钉M3×16-13;仿真轮轴-4;GB／T822-2000十字槽圆柱头螺钉M3×16-14;GB／T822-2000十字槽圆柱头螺钉M3×16-16;GB／T822-2000十字槽圆柱头螺钉M3×16-6;GB／T822-2000十字槽圆柱头螺钉M3×16-4;板连接件-28;板连接件-26;板连接件-24;板连接件-25;GB／T822-2000十字槽圆柱头螺钉M3×16-7;GB／T822-2000十字槽圆柱头螺钉M3×16-2;板连接件-31;板连接件-29;GB／T822-2000十字槽圆柱头螺钉M3×16-8;GB／T822-2000十字槽圆柱头螺钉M3×16-5;GB／T822-2000十字槽圆柱头螺钉M3×16-3;板连接件-27;主传动外轴承固定座-内径50-8;侧固定板-5;电机侧板-10;摆臂电机支架-7;空心轴外-11;法兰-7;model_ph14b.stp-7;垂直板-7;外侧5M85齿大带轮-6;法兰外-6;主轴-3;主传动外轴承固定座-内径50-6;GB／T276-94深沟球轴承61802-2Z-11;电机侧板-9;法兰外-5;6809轴承外径58-22;主动轮轴承支架-3;6809轴承外径58-21;空心轴外-10;X8-20(RMD-X8 Pro-H 1：6 V3)-4;侧固定板-4;从动轴-3;主传动外轴承固定座-内径50-7;法兰-6;上顶板-1;6809轴承外径58-13;6809轴承外径58-12;GB／T822-2000十字槽圆柱头螺钉M3×16-1;板连接件-21;板连接件-20;板连接件-19;垂直板-3;板连接件-4;板连接件-2;摆臂电机支架-1;下盖板-1;前后下盖板-2;5M20齿带轮铝-1;板连接件-17;摆臂小带轮连接件-5;板连接件-3;板连接件-1;前后下盖板-1;板连接件-10;垂直板-6;板连接件-8;板连接件-23;板连接件-22;板连接件-6;板连接件-16;板连接件-12;板连接件-11;板连接件-5;摆臂小带轮连接件-8;5M20齿带轮铝-2;摆臂小带轮连接件-6;5M20齿带轮铝-4;摆臂电机支架-6;装配体2-1/model_ph17b_0726.stp-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ahead_wheel,0,0.000176599813181244,0,0,0,0,0.0487751853603894,1.19431136820125E-05,-6.24889431150401E-20,1.41367905477624E-08,2.10139464635948E-05,1.02886954235547E-21,1.22459599088019E-05,0,0,0,0,0,0,package://car_urdf/meshes/left_ahead_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://car_urdf/meshes/left_ahead_wheel.STL,,仿真轮1-2,left_ahead_wheel,left_ahead,left_front_wheel_joint,continuous,-0.155999999999997,-0.219000195879134,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_back_wheel,0,0.0001765998131813,-1.73472347597681E-18,0,0,0,0.0487751853603894,1.19453151301021E-05,-6.37807671524902E-20,2.9354773388473E-08,2.10139464635948E-05,-1.07324804301432E-22,1.22437584607124E-05,0,0,0,0,0,0,package://car_urdf/meshes/left_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://car_urdf/meshes/left_back_wheel.STL,,仿真轮1-1,left_back_wheel,left_back,left_rear_wheel_joint,continuous,0.156000000000004,-0.219000195879131,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_ahead_wheel,0,-0.000176599813181272,1.73472347597681E-18,0,0,0,0.0487751853603893,1.19431136820125E-05,6.25653898895604E-20,1.41367905477636E-08,2.10139464635948E-05,6.66376836206928E-22,1.22459599088019E-05,0,0,0,0,0,0,package://car_urdf/meshes/right_ahead_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://car_urdf/meshes/right_ahead_wheel.STL,,仿真轮1-3,right_ahead_wheel,right_ahead,right_front_wheel_joint,continuous,-0.155999999999997,0.219000195879134,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_back_wheel,-5.55111512312578E-17,-0.0001765998131813,0,0,0,0,0.0487751853603893,1.1945315130102E-05,6.30303075996259E-20,2.93547733881655E-08,2.10139464635948E-05,1.14517925091358E-22,1.22437584607124E-05,0,0,0,0,0,0,package://car_urdf/meshes/right_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://car_urdf/meshes/right_back_wheel.STL,,仿真轮1-4,right_back_wheel,right_back,right_rear_wheel_joint,continuous,0.156000000000004,0.219000195879132,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_ahead_arm,8.51004323329518E-08,0.00550753511779561,0.166867745732429,0,0,0,1.58786786548102,0.0101203073694154,-2.4734825792818E-12,6.46656692175558E-09,0.0114564870751773,-8.66733028934063E-08,0.00151495709722863,0,0,0,0,0,0,package://car_urdf/meshes/left_ahead_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf/meshes/left_ahead_arm.STL,,摆臂总装-1,left_ahead_arm,left_ahead_arm_roll,left_front_arm_joint,revolute,-0.277600000000002,-0.241000195879134,0.0551000000000096,0,0,0,base_link,0,-1,0,50,1.57,-2.356,2.356,,,,,,,,
left_back_arm,8.51004331448024E-08,0.00550753511779317,0.166867745732428,0,0,0,1.58786786548102,0.0101203073694154,-2.47348285991948E-12,6.46656686100875E-09,0.0114564870751773,-8.66733026505325E-08,0.00151495709722865,0,0,0,0,0,0,package://car_urdf/meshes/left_back_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf/meshes/left_back_arm.STL,,摆臂总装-7,left_back_arm,left_back_arm_roll,left_rear_arm_joint,revolute,0.277599999999999,-0.241000195879128,0.0551000000000025,0,0,0,base_link,0,-1,0,50,1.57,-2.356,2.356,,,,,,,,
right_ahead_arm,-8.51007762245337E-08,-0.00550753511778806,0.166867745732428,0,0,0,1.58786786548102,0.0101203073694157,-2.47348335366673E-12,-6.46654918710766E-09,0.0114564870751773,8.66733026516663E-08,0.0015149570972289,0,0,0,0,0,0,package://car_urdf/meshes/right_ahead_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf/meshes/right_ahead_arm.STL,,摆臂总装-5,right_ahead_arm,right_ahead_arm_roll,right_front_arm_joint,revolute,-0.277600000000005,0.24100019587914,0.0551000000000029,0,0,0,base_link,0,1,0,50,1.57,-2.356,2.356,,,,,,,,
right_back_arm,-8.51007770918955E-08,-0.00550753511778787,0.166867745732428,0,0,0,1.58786786548102,0.0101203073694157,-2.47348331988548E-12,-6.46654912698323E-09,0.0114564870751773,8.66733026512719E-08,0.0015149570972289,0,0,0,0,0,0,package://car_urdf/meshes/right_back_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_urdf/meshes/right_back_arm.STL,,摆臂总装-6,right_back_arm,right_back_arm_roll,right_rear_arm_joint,revolute,0.277599999999996,0.241000195879143,0.0551000000000005,0,0,0,base_link,0,1,0,50,1.57,-2.356,2.356,,,,,,,,
big_course_part,-3.89091000418951E-07,-0.000840655594497246,-0.000626755979201477,0,0,0,4.058247002138,0.00215393279764293,7.58591199427594E-08,3.93372022304389E-08,0.00241219360465986,-2.17404141773653E-07,0.00317731381306234,0,0,0,0,0,0,package://car_urdf/meshes/big_course_part.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://car_urdf/meshes/big_course_part.STL,,"装配体2-1/新pht20连接-1;装配体2-1/ph17连3-1;装配体2-1/ph17连2-1;装配体2-1/model_ph17b_0726.stp-1;装配体2-1/ph17垫片-1;装配体2-1/轴承BK600026-8C2.5L10M8-2;装配体2-1/hexagon socket button head screws gb-72;装配体2-1/hexagon socket button head screws gb-71;装配体2-1/hexagon socket button head screws gb-68;装配体2-1/hexagon socket button head screws gb-67;装配体2-1/ph17lian1-1;装配体2-1/hexagon socket button head screws gb-76;装配体2-1/hexagon socket button head screws gb-75;装配体2-1/hexagon socket button head screws gb-74;装配体2-1/hex nuts, style 2-grades ab gb-16;装配体2-1/hex nuts, style 2-grades ab gb-17;装配体2-1/hex nuts, style 2-grades ab gb-15;装配体2-1/hex nuts, style 2-grades ab gb-21;装配体2-1/hex nuts, style 2-grades ab gb-18;装配体2-1/hex nuts, style 2-grades ab gb-19;装配体2-1/hexagon socket button head screws gb-69;装配体2-1/hexagon socket button head screws gb-70",big_course_angle,big_course,shoulder_yaw_joint,revolute,0.120249999999999,-0.00100019587899608,0.199849999999992,0,0,0,base_link,0,0,1,66,1.57,-1.57,1.57,,,,,,,,
